                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.86224,                0.65985,                  1.116,                0.90948,                0.89586,                0.94653,                0.74444,                0.84659,                0.47338,                 1.1042,               0.006436,               0.006436,               0.006436
                     38,                 0.8587,                0.65465,                 1.1146,                0.90633,                0.89553,                0.94557,                0.74412,                0.84246,                0.46999,                 1.0998,               0.006337,               0.006337,               0.006337
                     39,                0.85312,                0.65371,                 1.1131,                0.86606,                0.92974,                0.94563,                0.74465,                0.83963,                0.47017,                 1.0963,               0.006238,               0.006238,               0.006238
                     40,                0.85006,                0.65161,                 1.1083,                0.85883,                0.94056,                0.94646,                0.74603,                0.83884,                0.46909,                 1.0972,               0.006139,               0.006139,               0.006139
                     41,                0.85172,                0.64747,                 1.1083,                0.86303,                0.93725,                0.94719,                0.74864,                0.83752,                0.46386,                 1.0974,                0.00604,                0.00604,                0.00604
                     42,                0.84934,                0.64335,                 1.1082,                0.86074,                0.93683,                0.94727,                0.74911,                0.83478,                0.46404,                 1.0952,               0.005941,               0.005941,               0.005941
                     43,                0.84212,                0.63761,                 1.1047,                 0.8624,                0.93506,                0.94742,                0.74755,                 0.8341,                0.46082,                 1.0955,               0.005842,               0.005842,               0.005842
                     44,                0.84194,                0.63561,                 1.1069,                0.89803,                0.90265,                0.94754,                0.74809,                0.83395,                0.45969,                 1.0964,               0.005743,               0.005743,               0.005743
                     45,                0.84098,                0.62704,                 1.1071,                0.89311,                0.90651,                0.94676,                0.74825,                0.83419,                0.45769,                 1.0965,               0.005644,               0.005644,               0.005644
                     46,                0.83816,                0.63327,                 1.1027,                0.89192,                0.90923,                0.94743,                0.75032,                0.83433,                0.45585,                 1.0965,               0.005545,               0.005545,               0.005545
                     47,                0.83543,                0.62637,                  1.104,                0.89146,                0.90876,                0.94738,                  0.751,                0.83408,                0.45579,                 1.0962,               0.005446,               0.005446,               0.005446
                     48,                0.83254,                0.62208,                 1.1005,                0.89074,                0.90827,                0.94723,                0.74992,                0.83252,                0.45482,                 1.0939,               0.005347,               0.005347,               0.005347
                     49,                0.83012,                0.62122,                 1.1008,                0.88722,                0.91103,                0.94717,                0.75062,                0.83178,                0.45414,                 1.0927,               0.005248,               0.005248,               0.005248
                     50,                0.83323,                0.61939,                 1.1005,                0.88643,                0.91788,                0.94767,                0.75032,                 0.8315,                0.45235,                 1.0925,               0.005149,               0.005149,               0.005149
                     51,                0.82825,                 0.6116,                 1.0975,                 0.8911,                0.91205,                0.94775,                0.75135,                0.83095,                0.45192,                  1.093,                0.00505,                0.00505,                0.00505
                     52,                0.82725,                0.61328,                 1.0988,                0.89282,                 0.9111,                0.94797,                0.75127,                0.83092,                 0.4509,                  1.093,               0.004951,               0.004951,               0.004951
                     53,                0.82693,                0.60489,                 1.0943,                0.89162,                0.91155,                0.94801,                0.75072,                0.83111,                0.44963,                 1.0927,               0.004852,               0.004852,               0.004852
                     54,                 0.8201,                0.60549,                 1.0957,                0.89053,                0.91165,                0.94781,                0.75159,                 0.8302,                0.45038,                 1.0919,               0.004753,               0.004753,               0.004753
                     55,                0.81946,                0.60578,                 1.0939,                0.89124,                0.91369,                0.94787,                0.75122,                 0.8304,                 0.4502,                 1.0928,               0.004654,               0.004654,               0.004654
                     56,                0.82001,                0.60451,                 1.0959,                0.89142,                0.91189,                0.94802,                0.75235,                0.82952,                0.44939,                  1.092,               0.004555,               0.004555,               0.004555
                     57,                0.81693,                 0.6007,                 1.0952,                0.89055,                0.91414,                0.94805,                0.75223,                0.82843,                0.44909,                 1.0915,               0.004456,               0.004456,               0.004456
                     58,                0.81525,                0.59509,                 1.0904,                0.89093,                 0.9134,                 0.9481,                0.75215,                0.82705,                0.44877,                 1.0898,               0.004357,               0.004357,               0.004357
                     59,                0.81076,                0.59581,                 1.0921,                0.89041,                 0.9129,                0.94788,                0.75193,                0.82657,                0.44842,                 1.0893,               0.004258,               0.004258,               0.004258
                     60,                0.80856,                 0.5913,                 1.0875,                0.88942,                0.91392,                0.94782,                0.75279,                0.82603,                0.44818,                 1.0889,               0.004159,               0.004159,               0.004159
                     61,                0.80451,                0.58064,                 1.0838,                   0.89,                0.91435,                0.94811,                0.75276,                0.82548,                0.44686,                  1.089,                0.00406,                0.00406,                0.00406
                     62,                0.80716,                0.58778,                 1.0842,                0.89047,                0.91352,                0.94814,                0.75265,                0.82498,                0.44622,                 1.0888,               0.003961,               0.003961,               0.003961
                     63,                0.80436,                0.58637,                 1.0849,                 0.8909,                 0.9133,                0.94824,                0.75283,                0.82466,                0.44533,                 1.0886,               0.003862,               0.003862,               0.003862
                     64,                0.80477,                0.58147,                 1.0867,                0.89112,                0.91351,                0.94825,                0.75316,                0.82443,                0.44565,                 1.0883,               0.003763,               0.003763,               0.003763
                     65,                 0.7982,                0.57575,                 1.0807,                 0.8936,                0.91127,                0.94828,                0.75355,                0.82442,                0.44541,                 1.0884,               0.003664,               0.003664,               0.003664
                     66,                0.79648,                0.57359,                 1.0808,                0.89567,                0.91102,                0.94825,                0.75376,                0.82398,                0.44539,                  1.088,               0.003565,               0.003565,               0.003565
                     67,                0.79386,                0.57243,                 1.0813,                0.89451,                0.91163,                0.94858,                0.75439,                0.82355,                0.44473,                 1.0876,               0.003466,               0.003466,               0.003466
                     68,                0.79567,                0.57279,                 1.0825,                0.89551,                0.91101,                 0.9486,                0.75394,                0.82255,                0.44497,                 1.0863,               0.003367,               0.003367,               0.003367
                     69,                0.78958,                0.56143,                 1.0761,                0.89678,                0.91146,                0.94899,                 0.7547,                0.82178,                0.44394,                 1.0858,               0.003268,               0.003268,               0.003268
                     70,                0.78609,                0.56103,                 1.0771,                0.89772,                0.91011,                0.94901,                0.75556,                0.82114,                0.44386,                 1.0853,               0.003169,               0.003169,               0.003169
                     71,                0.78525,                0.56257,                 1.0776,                0.89733,                0.90877,                0.94895,                0.75598,                0.82057,                0.44241,                 1.0848,                0.00307,                0.00307,                0.00307
                     72,                0.78899,                0.56095,                  1.077,                0.89673,                0.91064,                0.94912,                0.75608,                0.82008,                0.44228,                 1.0845,               0.002971,               0.002971,               0.002971
                     73,                0.78169,                 0.5573,                 1.0744,                0.89794,                0.90887,                0.94932,                0.75695,                0.81975,                 0.4422,                 1.0841,               0.002872,               0.002872,               0.002872
                     74,                0.77889,                0.55415,                 1.0736,                0.89601,                0.91062,                0.94935,                0.75637,                0.81921,                0.44148,                 1.0837,               0.002773,               0.002773,               0.002773
                     75,                0.77979,                0.55742,                 1.0747,                0.89686,                0.90922,                 0.9494,                0.75669,                0.81878,                0.44132,                 1.0835,               0.002674,               0.002674,               0.002674
                     76,                0.77356,                 0.5478,                 1.0708,                0.89708,                0.90867,                0.94933,                0.75641,                0.81862,                0.44101,                 1.0833,               0.002575,               0.002575,               0.002575
                     77,                0.77294,                0.54319,                 1.0706,                0.89689,                0.90859,                0.94943,                0.75744,                0.81825,                 0.4412,                 1.0829,               0.002476,               0.002476,               0.002476
                     78,                0.77368,                 0.5416,                 1.0709,                 0.8964,                0.90887,                0.94935,                0.75696,                0.81779,                0.44107,                 1.0825,               0.002377,               0.002377,               0.002377
                     79,                0.76939,                0.53958,                 1.0662,                0.89672,                0.90866,                0.94955,                0.75708,                 0.8175,                0.44092,                 1.0825,               0.002278,               0.002278,               0.002278
                     80,                0.76321,                0.53828,                 1.0651,                 0.8976,                0.90899,                0.94957,                0.75777,                0.81724,                0.44091,                 1.0824,               0.002179,               0.002179,               0.002179
                     81,                 0.7602,                0.53513,                 1.0624,                0.89745,                0.90842,                 0.9498,                0.75836,                  0.817,                0.44101,                 1.0821,                0.00208,                0.00208,                0.00208
                     82,                0.76041,                 0.5283,                 1.0633,                 0.8966,                0.90975,                0.94983,                0.75782,                0.81676,                0.44139,                 1.0817,               0.001981,               0.001981,               0.001981
                     83,                0.75768,                0.52872,                 1.0595,                0.89819,                0.90987,                0.94979,                0.75801,                0.81617,                0.44046,                 1.0813,               0.001882,               0.001882,               0.001882
                     84,                0.75877,                0.52667,                 1.0606,                0.89736,                0.91012,                0.94993,                0.75846,                0.81559,                0.44079,                 1.0809,               0.001783,               0.001783,               0.001783
                     85,                0.75458,                0.52587,                 1.0601,                0.89671,                0.91028,                0.95002,                0.75815,                 0.8151,                0.44043,                 1.0805,               0.001684,               0.001684,               0.001684
                     86,                0.74863,                0.52291,                 1.0572,                0.89503,                0.90964,                0.95023,                0.75847,                0.81487,                 0.4403,                 1.0804,               0.001585,               0.001585,               0.001585
                     87,                0.74819,                0.51675,                 1.0564,                0.89561,                0.90972,                0.95009,                0.75919,                0.81433,                0.44013,                 1.0799,               0.001486,               0.001486,               0.001486
                     88,                 0.7497,                 0.5137,                 1.0587,                0.89551,                0.90945,                0.95044,                0.75941,                0.81402,                0.43957,                 1.0797,               0.001387,               0.001387,               0.001387
                     89,                 0.7435,                0.50922,                 1.0527,                0.89539,                0.90949,                0.95022,                0.75921,                0.81347,                0.43949,                 1.0793,               0.001288,               0.001288,               0.001288
                     90,                0.74141,                0.51143,                 1.0554,                0.89352,                0.91109,                0.95053,                0.75983,                0.81311,                0.43873,                 1.0792,               0.001189,               0.001189,               0.001189
                     91,                0.74947,                0.43443,                 1.0848,                0.89292,                0.91054,                0.95065,                0.75965,                0.81263,                0.43806,                 1.0789,                0.00109,                0.00109,                0.00109
                     92,                0.74216,                0.42951,                 1.0822,                0.89301,                0.91191,                0.95095,                0.76022,                0.81244,                0.43766,                 1.0788,               0.000991,               0.000991,               0.000991
                     93,                0.73799,                0.42337,                 1.0817,                0.89308,                0.91221,                0.95091,                0.76024,                 0.8118,                0.43687,                 1.0786,               0.000892,               0.000892,               0.000892
                     94,                0.73374,                0.41983,                 1.0746,                 0.8963,                 0.9111,                0.95101,                0.76109,                0.81138,                 0.4361,                 1.0784,               0.000793,               0.000793,               0.000793
                     95,                 0.7293,                0.41403,                 1.0735,                0.89579,                0.91113,                0.95121,                 0.7615,                0.81084,                0.43551,                 1.0781,               0.000694,               0.000694,               0.000694
                     96,                0.72632,                 0.4127,                 1.0703,                0.89369,                0.91343,                0.95144,                0.76143,                0.81046,                 0.4346,                 1.0778,               0.000595,               0.000595,               0.000595
                     97,                0.72285,                0.40843,                 1.0701,                0.89261,                0.91445,                0.95162,                0.76174,                 0.8098,                0.43429,                 1.0774,               0.000496,               0.000496,               0.000496
                     98,                0.72014,                0.40531,                 1.0661,                 0.8946,                0.91506,                0.95174,                0.76285,                 0.8093,                 0.4337,                 1.0769,               0.000397,               0.000397,               0.000397
                     99,                0.71683,                0.40145,                 1.0647,                0.89503,                0.91414,                 0.9517,                  0.763,                0.80873,                0.43352,                 1.0769,               0.000298,               0.000298,               0.000298
                    100,                0.71322,                0.40009,                  1.064,                0.89481,                0.91385,                 0.9517,                0.76317,                0.80829,                0.43296,                 1.0766,               0.000199,               0.000199,               0.000199
